ind,year,VALK,VALP,VALU,VKPY,VKOT
DTOTAL,1971,NA,NA,1126.817,NA,0.34932
DTOTAL,1972,NA,NA,1237.885,NA,0.36788
DTOTAL,1973,NA,NA,1382.269,NA,0.3892
DTOTAL,1974,NA,NA,1499.452,NA,0.38705
DTOTAL,1975,NA,NA,1637.7,NA,0.38623
DTOTAL,1976,NA,NA,1824.583,NA,0.40695
DTOTAL,1977,5373.0887,0.377832957,2030.13,NA,0.42566
DTOTAL,1978,5672.7578,0.404346896,2293.762,2143.3548,0.4494
DTOTAL,1979,5850.1103,0.437979431,2562.228,2365.474,0.46345
DTOTAL,1980,5833.953,0.477916606,2788.143,2555.1514,0.46217
DTOTAL,1981,5982.0203,0.522705852,3126.837,2858.9068,0.4739
DTOTAL,1982,5865.889,0.554595216,3253.194,3066.1345,0.4647
DTOTAL,1983,6130.9712,0.576516492,3534.606,3400.2073,0.4857
DTOTAL,1984,6571.5125,0.598172038,3930.895,3788.5853,0.5206
DTOTAL,1985,6843.411,0.616281852,4217.47,4093.5371,0.54214
DTOTAL,1986,7080.4702,0.629911136,4460.067,4363.5653,0.56092
DTOTAL,1987,7307.0523,0.648189423,4736.354,4602.7936,0.57887
DTOTAL,1988,7607.3525,0.670459535,5100.422,4931.0054,0.60266
DTOTAL,1989,7879.251,0.69576994,5482.146,5282.719,0.6242
DTOTAL,1990,8027.0659,0.72262108,5800.527,5584.9911,0.63591
DTOTAL,1991,8008.2576,0.748239413,5992.094,5786.9358,0.63442
DTOTAL,1992,8280.03,0.765976214,6342.306,6195.4448,0.65595
DTOTAL,1993,8516.2055,0.782901491,6667.35,6523.2109,0.67466
DTOTAL,1994,8863.0844,0.799401163,7085.16,6938.922,0.70214
DTOTAL,1995,9086.0059,0.81605219,7414.655,7263.3637,0.7198
DTOTAL,1996,9425.8159,0.831594426,7838.456,7691.9577,0.74672
DTOTAL,1997,9845.908,0.846276644,8332.362,8187.8022,0.78
DTOTAL,1998,10274.71,0.855838759,8793.495,8695.247,0.81397
DTOTAL,1999,10770.666,0.868422064,9353.484,9217.9534,0.85326
DTOTAL,2000,11216.383,0.887227396,9951.482,9740.5542,0.88857
DTOTAL,2001,11337.437,0.907274469,10286.167,10058.885,0.89816
DTOTAL,2002,11543.065,0.921966231,10642.316,10472.728,0.91445
DTOTAL,2003,11836.422,0.941349641,11142.212,10912.782,0.93769
DTOTAL,2004,12246.921,0.967855835,11853.254,11528.635,0.97021
DTOTAL,2005,12622.959,1,12622.959,12217.205,1
DTOTAL,2006,12958.477,1.032313808,13377.215,12958.477,1.02658
DTOTAL,2007,13206.392,1.062264003,14028.675,13633.141,1.04622
DTOTAL,2008,13161.959,1.085821846,14291.543,13981.476,1.0427
DTOTAL,2009,12757.898,1.095296461,13973.681,13852.805,1.01069
DTOTAL,2010,13062.995,1.109923231,14498.922,14307.853,1.03486
DTOTAL,2011,13299.045,1.133590221,15075.667,14760.919,1.05356
