"ind","year","cou","EUNAMA10R2_VALK","EUNAMA10R2_VALU","EUNAMA10R2_VKOT","EUNAMA10R2_VKPY","NSONA_VALU","NSONA_VKOT"
"D10T33","1980","SWE",NA,NA,NA,NA,116.951,NA
"D10T33","1981","SWE",NA,NA,NA,NA,122.165,34.3
"D10T33","1982","SWE",NA,NA,NA,NA,133.813,34.2
"D10T33","1983","SWE",NA,NA,NA,NA,153.184,36.2
"D10T33","1984","SWE",NA,NA,NA,NA,180.055,39.6
"D10T33","1985","SWE",NA,NA,NA,NA,197.248,40.8
"D10T33","1986","SWE",NA,NA,NA,NA,213.226,41.1
"D10T33","1987","SWE",NA,NA,NA,NA,228.796,42
"D10T33","1988","SWE",NA,NA,NA,NA,246.315,43.3
"D10T33","1989","SWE",NA,NA,NA,NA,264.344,43.4
"D10T33","1990","SWE",NA,NA,NA,NA,271.973,42.7
"D10T33","1991","SWE",NA,NA,NA,NA,267.733,41
"D10T33","1992","SWE",NA,NA,NA,NA,257.924,39.4
"D10T33","1993","SWE",227.655,266.056,39.6,NA,266.056,39.6
"D10T33","1994","SWE",263.94,310.787,45.9,308.462,310.787,45.9
"D10T33","1995","SWE",300.071,375.062,52.2,353.331,375.062,52.2
"D10T33","1996","SWE",310.335,373.83,53.9,387.891,373.83,53.9
"D10T33","1997","SWE",337.361,398.587,58.6,406.386,398.587,58.6
"D10T33","1998","SWE",366.826,424.91,63.8,433.399,424.91,63.8
"D10T33","1999","SWE",396.031,442.989,68.8,458.739,442.989,68.8
"D10T33","2000","SWE",434.223,483.474,75.5,485.71,483.474,75.5
"D10T33","2001","SWE",430.484,479.057,74.8,479.311,479.057,74.8
"D10T33","2002","SWE",450.039,482.92,78.2,500.818,482.92,78.2
"D10T33","2003","SWE",470.156,491.802,81.7,504.507,491.802,81.7
"D10T33","2004","SWE",513.206,512.055,89.2,536.834,512.055,89.2
"D10T33","2005","SWE",532.987,525.68,92.7,531.792,525.68,92.7
"D10T33","2006","SWE",576.422,562.244,100.2,568.519,562.244,100.2
"D10T33","2007","SWE",600.359,597.176,104.4,585.592,597.176,104.4
"D10T33","2008","SWE",582.828,570.497,101.3,579.738,570.497,101.3
"D10T33","2009","SWE",468.437,499.889,81.4,458.526,499.889,81.4
"D10T33","2010","SWE",575.259,575.259,100,613.883,575.259,100
"D10T33","2011","SWE",603.579,588.552,104.9,603.579,588.552,104.9
"D10T33","2012","SWE",559.797,559.308,97.3,545.86,559.308,97.3
"D10T33","2013","SWE",555.229,549.567,96.5,554.744,NA,NA
