ind,IndALL,IndA6,IndA17,IndA31,IndA60,IndICIO,IndA18,IndA34,IndA46,IndA60All,IndICT,STANPUB,Eurostat,label
CTOTAL,1,,,,,,,,1,1,1,1,,TOTAL
C01T05,1,1,,,,1,1,1,1,,,2,,"AGRICULTURE, HUNTING, FORESTRY AND FISHING"
C01T02,1,,1,1,,,,,,,,3,A,"Agriculture, hunting and forestry"
C01,1,,,,1,,,,,,,4,,"Agriculture, hunting and related service activities"
C02,1,,,,1,,,,,,,5,,"Forestry, logging and related service activities"
C05,1,,1,1,1,,,,,,,6,B,"Fishing, fish hatcheries, fish farms and related services"
C10T41,1,1,,,,,,,,,,96,,INDUSTRY INCLUDING ENERGY
C10T14,1,,1,,,,1,1,1,,,7,C,MINING AND QUARRYING
C10T12,1,,,1,,1,,,,,,8,CA,Mining and quarrying of energy producing materials
C10,1,,,,1,,,,,,,9,,"Mining of coal and lignite, extraction of peat"
C11,1,,,,1,,,,,,,10,,Extraction of crude petroleum and natural gas and related services
C12,1,,,,1,,,,,,,11,,Mining of uranium and thorium ores
C13T14,1,,,1,,1,,,,,,12,CB,Mining and quarrying except energy producing materials
C13,1,,,,1,,,,,,,13,,Mining of metal ores
C14,1,,,,1,,,,,,,14,,Other mining and quarrying
C15T37,1,,1,,,,,,1,1,1,15,D,MANUFACTURING
C15T16,1,,,1,,1,1,1,1,,,16,DA,"Food products, beverages and tobacco"
C15,1,,,,1,,,,,,,17,,Food products and beverages
C16,1,,,,1,,,,,,,18,,Tobacco products
C17T19,1,,,,,1,1,1,1,,,19,,"Textiles, textile products, leather and footwear"
C17T18,1,,,1,,,,,,,,20,DB,Textiles and textile products
C17,1,,,,1,,,,,,,21,,Textiles
C18,1,,,,1,,,,,,,22,,"Wearing apparel, dressing and dyeing of fur"
C19,1,,,1,1,,,,,,,23,DC,"Leather, leather products and footwear"
C20T22,,,,,,,1,,1,,,,,"Wood, paper, paper products, printing and publishing"
C20,1,,,1,1,1,,1,1,,,24,DD,Wood and products of wood and cork
C21T22,1,,,1,,1,,1,1,,,25,DE,"Pulp, paper, paper products, printing and publishing"
C21,1,,,,1,,,,,,,26,,"Pulp, paper and paper products"
C22,1,,,,1,,,,,,,27,,Printing and publishing
C23T26,,,,,,,1,,1,,,,,Chemicals and non-metallic mineral products
C23T25,1,,,,,,,,,,,28,,"Chemical, rubber, plastics and fuel products"
C23,1,,,1,1,1,,1,1,,,29,DF,"Coke, refined petroleum products and nuclear fuel"
C24,1,,,1,1,1,,1,1,,,30,DG,Chemicals and chemical products
C2423,1,,,,,,,,,,,32,,Pharmaceuticals
C24X,1,,,,,,,,,,,31,,Chemicals excluding phamaceuticals
C25,1,,,1,1,1,,1,1,,,33,DH,Rubber and plastics products
C26,1,,,1,1,1,,1,1,,,34,DI,Other non-metallic mineral products
C27T28,1,,,1,,,1,,1,,,35,DJ,Basic metals and fabricated metal products
C27,1,,,,1,1,,1,1,,,36,,Basic metals
C271T31,1,,,,,,,,,,,37,,Iron and steel
C272T32,1,,,,,,,,,,,38,,Non-ferrous metals
C28,1,,,,1,1,,1,1,,,39,,"Fabricated metal products, except machinery and equipment"
C29T33,1,,,,,,,,,,,40,,Machinery and equipment
C29,1,,,1,1,1,1,1,1,,,41,DK,"Machinery and equipment, n.e.c."
C30T33,1,,,1,,,1,,1,,1,42,DL,Electrical and optical equipment
C30T33X,,,,,,,,1,1,,,,,"Computer, Electronic and optical equipment"
C30,1,,,,1,1,,,,,1,43,,"Office, accounting and computing machinery"
C31,1,,,,1,1,,1,1,,1,44,,"Electrical machinery and apparatus, n.e.c."
C313,1,,,,,,,,,,1,,,Insulated wire and cable
C31X,1,,,,,,,,,,1,,,"Electrical machinery and apparatus, nec not incl. insulated wire and cable"
C32,1,,,,1,1,,,,,1,45,,"Radio, television and communication equipment"
C321,1,,,,,,,,,,1,,,Electronic valves and tubes and other electronic components
C322,1,,,,,,,,,,1,,,Television and radio transmitters and apparatus for line telephony and line telegraphy
C323,1,,,,,,,,,,1,,,"Television and radio receivers, sound or video recording or reproducing apparatus, and associated goods"
C33,1,,,,1,1,,,,,1,46,,"Medical, precision and optical instruments"
C3312,1,,,,,,,,,,1,,,"Instruments and appliances for measuring, checking, testing, navigating and other purposes, except industrial process control equipment"
C3313,1,,,,,,,,,,1,,,Industrial process control equipment
C33X,1,,,,,,,,,,1,,,"Medical and optical instruments, watches and clocks"
C34T35,1,,,1,,,1,,1,,,47,DM,Transport equipment
C34,1,,,,1,1,,1,1,,,48,,"Motor vehicles, trailers and semi-trailers"
C35,1,,,,1,1,,1,1,,,49,,Other transport equipment
C351,1,,,,,,,,,,,50,,Building and repairing of ships and boats
C353,1,,,,,,,,,,,51,,Aircraft and spacecraft
C352A9,1,,,,,,,,,,,52,,Railroad equipment and transport equipment n.e.c.
C36T37,1,,,1,,1,1,1,1,,,53,DN,Manufacturing n.e.c. and recycling
C36,1,,,,1,,,,,,,54,,Manufacturing n.e.c.
C37,1,,,,1,,,,,,,55,,Recycling
C40T41,1,,1,1,,1,1,1,1,,,56,E,"ELECTRICITY GAS AND, WATER SUPPLY"
C40,1,,,,1,,,,,,,57,,"Electricity, gas, steam and hot water supply"
C41,1,,,,1,,,,,,,58,,"Collection, purification and distribution of water"
C45,1,1,1,1,1,1,1,1,1,,,59,F,CONSTRUCTION
C50T99,1,,,,,,,,,,1,98,,TOTAL SERVICES
C50T74,1,,,,,,,,1,,1,99,,BUSINESS SECTOR SERVICES
C50T64,1,1,,,,,,,,,,,,"Wholesale and retail trade - restaurants and hotels - transport, storage and communications"
C50T55,1,,,,,,1,,1,,,60,G-H,WHOLESALE AND RETAIL TRADE - RESTAURANTS AND HOTELS
C50T52,1,,1,1,,1,,1,1,,1,61,G,Wholesale and retail trade - repairs
C50,1,,,,1,,,,,,,62,,"Sale, maintenance and repair of motor vehicles and motorcycles - retail sale of automotive fuel"
C51,1,,,,1,,,,,,1,63,,"Wholesale, trade and commission excl. motor vehicles"
C515,1,,,,,,,,,,1,,,"Wholesale of machinery, equipment and supplies"
C51X,1,,,,,,,,,,1,,,Wholesale trade excluding machinery equipment and supplies
C52,1,,,,1,,,,,,,64,,Retail trade excl. motor vehicles - repair of household goods
C55,1,,1,1,1,1,,1,1,,,65,H,Hotels and restaurants
C60T64,1,,1,1,,,1,,1,,,66,I,"TRANSPORT, STORAGE AND COMMUNICATIONS"
C60T63,1,,,,,,,1,1,,,67,,Transport and storage
C60,1,,,,1,1,,,,,,68,,Land transport - transport via pipelines
C61,1,,,,1,1,,,,,,69,,Water transport
C62,1,,,,1,1,,,,,,70,,Air transport
C63,1,,,,1,1,,,,,,71,,Supporting and auxiliary transport activities
C64,1,,,,1,1,,1,1,,1,72,,Post and telecommunications
C641,1,,,,,,,,,,1,,,Post and courier activities
C642,1,,,,,,,,,,1,,,Telecommunications
C65T74,1,1,,,,,,,,,,73,J-K,"FINANCE, INSURANCE, REAL ESTATE AND BUSINESS SERVICES"
C65T67,1,,1,1,,1,1,1,1,,,74,J,Financial intermediation
C65,1,,,,1,,,,,,,75,,"Financial intermediation, except insurance and pension funding"
C66,1,,,,1,,,,,,,76,,"Insurance and pension funding, except compulsory social security"
C67,1,,,,1,,,,,,,77,,Activities auxiliary to financial intermediation
C70T74,1,,1,1,,,1,,1,,,78,K,"Real estate, renting and business activities"
C70,1,,,,1,1,,1,1,,,79,,Real estate activities
C71T74,1,,,,,,,,,,1,80,,Renting of mach. and equip. - other business activities
C71,1,,,,1,1,,1,1,,1,81,,Renting of machinery and equipment
C7123,1,,,,,,,,,,1,,,"Renting of office machinery and equipment, including computers"
C71X,1,,,,,,,,,,1,,,Renting except office machinery and equipment
C72,1,,,,1,1,,1,1,,1,82,,Computer and related activities
C73T74,,,,,,,,1,1,,,,,Research and development and other business activities
C73,1,,,,1,1,,,,,1,83,,Research and development
C74,1,,,,1,1,,,,,1,84,,Other business activities
C741T3,1,,,,,,,,,,,,,"Legal, technical and advertising"
C749,1,,,,,,,,,,,,,Business activities n.e.c.
C75T99,1,1,,,,,1,,1,,,85,,"COMMUNITY, SOCIAL AND PERSONAL SERVICES"
C75,1,,1,1,1,1,,1,1,,,86,L,Public admin. and defence - compulsory social security
C80T93,,,,,,,,,,1,,,,
C80,1,,1,1,1,1,,1,1,,,87,M,Education
C85,1,,1,1,1,1,,1,1,,,88,N,Health and social work
C90T93,1,,1,1,,1,,1,1,,,89,O,"Other community, social and personal services"
C90,1,,,,1,,,,,,,90,,"Sewage and refuse disposal, sanitation and similar activities"
C91,1,,,,1,,,,,,,91,,Activities of membership organizations n.e.c.
C92,1,,,,1,,,,,,,92,,"Recreational, cultural and sporting activities"
C93,1,,,,1,,,,,,,93,,Other service activities
C95,1,,1,1,1,1,,1,1,,,94,P,Private households with employed persons
C99,1,,1,1,1,,,,,1,,95,Q,Extra-territorial organizations and bodies
C20A36,1,,,,,,,,,,,,,"Wood, products of wood and manufacturing n.e.c."
C27T35,1,,,,,,,,,,,97,,"Basic metals, metal products, machinery and equipment"
C65T99,1,,,,,,,,,,,,J-Q,"FINANCE, INSURANCE, REAL ESTATE AND BUSINESS SERVICES AND COMMUNITY, SOCIAL AND PERSONAL SERVICES"
C50T74X,1,,,,,,,,,,1,100,,BUSINESS SECTOR SERVICES excluding real estate
C10T74X,1,,,,,,,,,,1,101,,NON-AGRICULTURE BUSINESS SECTOR excluding real estate
HITECH,1,,,,,,,,,,,102,,High-technology manufactures
MHTECH,1,,,,,,,,,,,103,,Medium-high technology manufactures
MLTECH,1,,,,,,,,,,,104,,Medium-low technology manufactures
LOTECH,1,,,,,,,,,,,105,,Low technology manufactures
HMHTECH,1,,,,,,,,,,,106,,High and medium-high technology manufactures
ICTMAN,1,,,,,,,,,,1,,,ICT manufactures
ICTSER,1,,,,,,,,,,1,,,ICT services
ENERGYP,1,,,,,,,,,,,107,,Energy producing activities
NONMAN,1,,,,,,,,,,,,,Total excluding manufacturing
